Ensemble_cospectra,fitted_Massman_cospectra_and_Kaimal_cospectra.
Massman_model:
n*Co(ws)/cov(ws)=a0*(fn/fpeak)/(1+(fn/fpeak)^(2mu))^(1.167/mu)
(note_that_slope_parameter_"m"_is_fixed_to_m=0.75)
a0=normalization_factor
fpeak=frequency_at_which_cospectrum_attains_highest_value
mu=broadness_factor

For_Kaimal_ideal_cospectra:see_e.g._Moncrieff_et_al._(1997_JoH)_Eqs.12-16.
(for_stable_stratifications_two_extreme_ideal_cospectra_are_reported_corresponding_to_z/L=0.01_(slightly_stable)_and_to_z/L=10.0_(very_stable).
-----------------------------------------------------------------------
Massman_model_fit_parameters_for_this_run:
w/T (unstable):
a0,    1.5367
fpeak,    0.1240
mu,    0.3904
w/T (stable):
a0,    1.2970
fpeak,    0.2061
mu,    0.4363
w/CO2 (unstable):
a0,    1.0006
fpeak,    0.1005
mu,    0.5572
w/CO2 (stable):
a0,    1.2152
fpeak,    0.1193
mu,    0.5221
w/H2O (unstable):
a0,    0.7382
fpeak,    0.0730
mu,    0.7273
w/H2O (stable):
a0,    1.1285
fpeak,    0.0374
mu,    0.4618
w/CH4 (unstable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
w/CH4 (stable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
w/none (unstable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
w/none (stable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
-----------------------------------------------------------------------
unstable_(-650<L<0),,,,,,,,,,,,,,,,,,,,,,,,,stable(0<L<1000)
fn,avrg_cosp(w/T),fit_cosp(w/T),kaimal_cosp,,fn,avrg_cosp(w/co2),fit_cosp(w/co2),kaimal_cosp,,fn,avrg_cosp(w/h2o),fit_cosp(w/h2o),kaimal_cosp,,fn,avrg_cosp(w/ch4),fit_cosp(w/ch4),kaimal_cosp,,fn,avrg_cosp(w/none),fit_cosp(w/none),kaimal_cosp,,fn,avrg_cosp(w/T),fit_cosp(w/T),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/co2),fit_cosp(w/co2),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/h2o),fit_cosp(w/h2o),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/ch4),fit_cosp(w/ch4),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/none),fit_cosp(w/none),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0
0.890949E-02,0.759223E-01,0.770552E-01,0.858382E-01,,0.889155E-02,0.941126E-01,0.772677E-01,0.857110E-01,,0.889607E-02,0.100585,0.836130E-01,0.857430E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.892337E-02,0.109804,0.474953E-01,0.299475E-01,0.137254E-02,,0.890162E-02,0.218471,0.785259E-01,0.298748E-01,0.136919E-02,,0.891880E-02,0.332004,0.148183,0.299322E-01,0.137183E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.112398E-01,0.947556E-01,0.909366E-01,0.101228,,0.112311E-01,0.103795,0.938895E-01,0.101175,,0.112101E-01,0.123371,0.102409,0.101045,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.112657E-01,0.120512,0.578223E-01,0.377731E-01,0.173281E-02,,0.112939E-01,0.229663,0.958187E-01,0.378672E-01,0.173715E-02,,0.113037E-01,0.392639,0.165477,0.379002E-01,0.173867E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.142370E-01,0.101391,0.106380,0.118111,,0.142431E-01,0.110133,0.113243,0.118143,,0.142422E-01,0.117305,0.124935,0.118138,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.142577E-01,0.122540,0.700025E-01,0.477315E-01,0.219302E-02,,0.142288E-01,0.214958,0.115129,0.476358E-01,0.218858E-02,,0.142003E-01,0.340059,0.180148,0.475411E-01,0.218420E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.180057E-01,0.126752,0.122681,0.135600,,0.179846E-01,0.125842,0.134351,0.135512,,0.179866E-01,0.145250,0.149463,0.135520,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.180402E-01,0.146523,0.839633E-01,0.602427E-01,0.277482E-02,,0.180457E-01,0.249353,0.137397,0.602605E-01,0.277565E-02,,0.179960E-01,0.348096,0.192008,0.600970E-01,0.276802E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.227757E-01,0.119976,0.139395,0.153126,,0.227845E-01,0.128992,0.157216,0.153154,,0.228150E-01,0.143878,0.175941,0.153253,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.228469E-01,0.158817,0.996936E-01,0.759785E-01,0.351411E-02,,0.228447E-01,0.272130,0.161376,0.759716E-01,0.351379E-02,,0.228067E-01,0.358508,0.199202,0.758480E-01,0.350794E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.288905E-01,0.121838,0.155952,0.170055,,0.289446E-01,0.140018,0.180660,0.170183,,0.288976E-01,0.146142,0.201792,0.170072,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.288258E-01,0.182867,0.116597,0.952289E-01,0.443371E-02,,0.289319E-01,0.298447,0.186312,0.955665E-01,0.445001E-02,,0.288734E-01,0.330062,0.200833,0.953806E-01,0.444103E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.365141E-01,0.139842,0.170984,0.185072,,0.365323E-01,0.149765,0.202153,0.185102,,0.365275E-01,0.168999,0.224196,0.185094,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.365711E-01,0.218293,0.134871,0.119492,0.562492E-02,,0.366088E-01,0.337719,0.210639,0.119608,0.563071E-02,,0.366092E-01,0.368120,0.196548,0.119609,0.563077E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.462182E-01,0.162432,0.183816,0.197733,,0.462244E-01,0.173250,0.220562,0.197739,,0.462683E-01,0.179825,0.240273,0.197784,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.463329E-01,0.250187,0.153257,0.148720,0.712614E-02,,0.463498E-01,0.383848,0.232644,0.148769,0.712874E-02,,0.463116E-01,0.342443,0.186736,0.148658,0.712287E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.586674E-01,0.180170,0.193427,0.207412,,0.585851E-01,0.194285,0.233610,0.207365,,0.586170E-01,0.200388,0.246809,0.207383,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.585878E-01,0.268896,0.170708,0.182816,0.901057E-02,,0.585667E-01,0.372740,0.250032,0.182761,0.900732E-02,,0.584851E-01,0.338245,0.172386,0.182544,0.899479E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.742842E-01,0.187222,0.198725,0.213517,,0.743318E-01,0.214583,0.239329,0.213529,,0.743213E-01,0.209722,0.242067,0.213526,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.743090E-01,0.304261,0.186373,0.221600,0.114275E-01,,0.742561E-01,0.427787,0.261120,0.221480,0.114194E-01,,0.743738E-01,0.337321,0.154171,0.221748,0.114375E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
